"time","mels_S"
"2021-07-12T00:00:00",0.042857143
"2021-07-12T00:15:00",0.033333333
"2021-07-12T00:30:00",0.1
"2021-07-12T00:45:00",0.05
"2021-07-12T01:00:00",0.025
"2021-07-12T01:15:00",0.05
"2021-07-12T01:30:00",0.1
"2021-07-12T01:45:00",0.066666667
"2021-07-12T02:00:00",0.033333333
"2021-07-12T02:15:00",0.05
"2021-07-12T02:30:00",0.075
"2021-07-12T02:45:00",0.02
"2021-07-12T03:00:00",0.1
"2021-07-12T03:15:00",0.033333333
"2021-07-12T03:30:00",0.04
"2021-07-12T03:45:00",0.02
"2021-07-12T04:00:00",0.06
"2021-07-12T04:15:00",0.1
"2021-07-12T04:30:00",0.02
"2021-07-12T04:45:00",0.08
"2021-07-12T05:00:00",0.0733333335
"2021-07-12T05:15:00",0.066666667
"2021-07-12T05:30:00",0.1
"2021-07-12T05:45:00",0.05
"2021-07-12T06:00:00",0.025
"2021-07-12T06:15:00",0.05
"2021-07-12T06:30:00",0.05
"2021-07-12T06:45:00",0.0625
"2021-07-12T07:00:00",0.014285714
"2021-07-12T07:15:00",0.08
"2021-07-12T07:30:00",0.05
"2021-07-12T07:45:00",0.02
"2021-07-12T08:00:00",0.071428571
"2021-07-12T08:15:00",0.066666667
"2021-07-12T08:30:00",0.025
"2021-07-12T08:45:00",0.06
"2021-07-12T09:00:00",0.053333333249999997
"2021-07-12T09:15:00",0.046666666499999995
"2021-07-12T09:30:00",0.03999999975
"2021-07-12T09:45:00",0.033333333
"2021-07-12T10:00:00",0.0291666665
"2021-07-12T10:15:00",0.025
"2021-07-12T10:30:00",0.033333333
"2021-07-12T10:45:00",0.05
"2021-07-12T11:00:00",0.066666667
"2021-07-12T11:15:00",0.05
"2021-07-12T11:30:00",0.05
"2021-07-12T11:45:00",0.1
"2021-07-12T12:00:00",0.05
"2021-07-12T12:15:00",0.033333333
"2021-07-12T12:30:00",0.05
"2021-07-12T12:45:00",0.06
"2021-07-12T13:00:00",0.065
"2021-07-12T13:15:00",0.06999999999999999
"2021-07-12T13:30:00",0.075
"2021-07-12T13:45:00",0.06
"2021-07-12T14:00:00",0.02
"2021-07-12T14:15:00",0.05
"2021-07-12T14:30:00",0.125
"2021-07-12T14:45:00",0.05
"2021-07-12T15:00:00",0.02
"2021-07-12T15:15:00",0.02
"2021-07-12T15:30:00",0.02
"2021-07-12T15:45:00",0.028571429
"2021-07-12T16:00:00",0.04126984166666667
"2021-07-12T16:15:00",0.05396825433333333
"2021-07-12T16:30:00",0.066666667
"2021-07-12T16:45:00",0.055555555666666666
"2021-07-12T17:00:00",0.04444444433333333
"2021-07-12T17:15:00",0.033333333
"2021-07-12T17:30:00",0.016666667
"2021-07-12T17:45:00",0.025
"2021-07-12T18:00:00",0.014285714
"2021-07-12T18:15:00",0.0238095235
"2021-07-12T18:30:00",0.033333333
"2021-07-12T18:45:00",0.0666666665
"2021-07-12T19:00:00",0.1
"2021-07-12T19:15:00",0.033333333
"2021-07-12T19:30:00",0.02
"2021-07-12T19:45:00",0.04
"2021-07-12T20:00:00",0.033333333
"2021-07-12T20:15:00",0.066666667
"2021-07-12T20:30:00",0.0583333335
"2021-07-12T20:45:00",0.05
"2021-07-12T21:00:00",0.05
"2021-07-12T21:15:00",0.05
"2021-07-12T21:30:00",0.05333333333333334
"2021-07-12T21:45:00",0.056666666666666664
"2021-07-12T22:00:00",0.06
"2021-07-12T22:15:00",0.033333333
"2021-07-12T22:30:00",0.05
"2021-07-12T22:45:00",0.033333333
"2021-07-12T23:00:00",0.1
"2021-07-12T23:15:00",0.033333333
"2021-07-12T23:30:00",0.04
"2021-07-12T23:45:00",0.066666667
"2021-07-13T00:00:00",0.05
"2021-07-13T00:15:00",0.05
"2021-07-13T00:30:00",0.066666667
"2021-07-13T00:45:00",0.02
"2021-07-13T01:00:00",0.05
"2021-07-13T01:15:00",0.04
"2021-07-13T01:30:00",0.025
"2021-07-13T01:45:00",0.033333333
"2021-07-13T02:00:00",0.02
"2021-07-13T02:15:00",0.039999999999999994
"2021-07-13T02:30:00",0.06
"2021-07-13T02:45:00",0.057142857
"2021-07-13T03:00:00",0.025
"2021-07-13T03:15:00",0.05
"2021-07-13T03:30:00",0.125
"2021-07-13T03:45:00",0.1
"2021-07-13T04:00:00",0.025
"2021-07-13T04:15:00",0.066666667
"2021-07-13T04:30:00",0.1
"2021-07-13T04:45:00",0.025
"2021-07-13T05:00:00",0.05
"2021-07-13T05:15:00",0.075
"2021-07-13T05:30:00",0.08
"2021-07-13T05:45:00",0.05
"2021-07-13T06:00:00",0.08
"2021-07-13T06:15:00",0.071428571
"2021-07-13T06:30:00",0.1
"2021-07-13T06:45:00",0.066666667
"2021-07-13T07:00:00",0.066666667
"2021-07-13T07:15:00",0.033333333
"2021-07-13T07:30:00",0.033333333
"2021-07-13T07:45:00",0.016666667
"2021-07-13T08:00:00",0.08
"2021-07-13T08:15:00",0.1
"2021-07-13T08:30:00",0.083333333
"2021-07-13T08:45:00",0.033333333
"2021-07-13T09:00:00",0.1
"2021-07-13T09:15:00",0.05
"2021-07-13T09:30:00",0.05
"2021-07-13T09:45:00",0.075
"2021-07-13T10:00:00",0.08
"2021-07-13T10:15:00",0.05
"2021-07-13T10:30:00",0.028571429
"2021-07-13T10:45:00",0.075
"2021-07-13T11:00:00",0.06
"2021-07-13T11:15:00",0.066666667
"2021-07-13T11:30:00",0.075
"2021-07-13T11:45:00",0.033333333
"2021-07-13T12:00:00",0.041666666500000005
"2021-07-13T12:15:00",0.05
"2021-07-13T12:30:00",0.06
"2021-07-13T12:45:00",0.05
"2021-07-13T13:00:00",0.04
"2021-07-13T13:15:00",0.1
"2021-07-13T13:30:00",0.1
"2021-07-13T13:45:00",0.08
"2021-07-13T14:00:00",0.075
"2021-07-13T14:15:00",0.05
"2021-07-13T14:30:00",0.0625
"2021-07-13T14:45:00",0.075
"2021-07-13T15:00:00",0.06
"2021-07-13T15:15:00",0.025
