"time","mels_S"
"2020-08-02T12:30:00",0.0875
"2020-08-02T12:45:00",0.088888889
"2020-08-02T13:00:00",0.133333333
"2020-08-02T13:15:00",0.07
"2020-08-02T13:30:00",0.125
"2020-08-02T13:45:00",0.0875
"2020-08-02T14:00:00",0.066666667
"2020-08-02T14:15:00",0.1
"2020-08-02T14:30:00",0.066666667
"2020-08-02T14:45:00",0.088888889
"2020-08-02T15:00:00",0.071428571
"2020-08-02T15:15:00",0.077777778
"2020-08-02T15:30:00",0.1
"2020-08-02T15:45:00",0.0625
"2020-08-02T16:00:00",0.077777778
"2020-08-02T16:15:00",0.05
"2020-08-02T16:30:00",0.08
"2020-08-02T16:45:00",0.1
"2020-08-02T17:00:00",0.1
"2020-08-02T17:15:00",0.07
"2020-08-02T17:30:00",0.09
"2020-08-02T17:45:00",0.1
"2020-08-02T18:00:00",0.0625
"2020-08-02T18:15:00",0.1
"2020-08-02T18:30:00",0.1
"2020-08-02T18:45:00",0.09
"2020-08-02T19:00:00",0.111111111
"2020-08-02T19:15:00",0.077777778
"2020-08-02T19:30:00",0.0875
"2020-08-02T19:45:00",0.06
"2020-08-02T20:00:00",0.1375
"2020-08-02T20:15:00",0.066666667
"2020-08-02T20:30:00",0.1
"2020-08-02T20:45:00",0.071428571
"2020-08-02T21:00:00",0.0625
"2020-08-02T21:15:00",0.085714286
"2020-08-02T21:30:00",0.075
"2020-08-02T21:45:00",0.085714286
"2020-08-02T22:00:00",0.09
"2020-08-02T22:15:00",0.077777778
"2020-08-02T22:30:00",0.077777778
"2020-08-02T22:45:00",0.07
"2020-08-02T23:00:00",0.1
"2020-08-02T23:15:00",0.066666667
"2020-08-02T23:30:00",0.075
"2020-08-02T23:45:00",0.088888889
"2020-08-03T00:00:00",0.07
"2020-08-03T00:15:00",0.122222222
"2020-08-03T00:30:00",0.081818182
"2020-08-03T00:45:00",0.083333333
"2020-08-03T01:00:00",0.08
"2020-08-03T01:15:00",0.07
"2020-08-03T01:30:00",0.09
"2020-08-03T01:45:00",0.07
"2020-08-03T02:00:00",0.0875
"2020-08-03T02:15:00",0.090909091
"2020-08-03T02:30:00",0.111111111
"2020-08-03T02:45:00",0.09
"2020-08-03T03:00:00",0.125
"2020-08-03T03:15:00",0.066666667
"2020-08-03T03:30:00",0.133333333
"2020-08-03T03:45:00",0.122222222
"2020-08-03T04:00:00",0.08
"2020-08-03T04:15:00",0.111111111
"2020-08-03T04:30:00",0.1125
"2020-08-03T04:45:00",0.1
"2020-08-03T05:00:00",0.1
"2020-08-03T05:15:00",0.11
"2020-08-03T05:30:00",0.075
"2020-08-03T05:45:00",0.025
"2020-08-03T06:00:00",0.08
"2020-08-03T06:15:00",0.066666667
"2020-08-03T06:30:00",0.1
"2020-08-03T06:45:00",0.08
"2020-08-03T07:00:00",0.11
"2020-08-03T07:15:00",0.0875
"2020-08-03T07:30:00",0.063636364
"2020-08-03T07:45:00",0.125
"2020-08-03T08:00:00",0.075
"2020-08-03T08:15:00",0.1
"2020-08-03T08:30:00",0.077777778
"2020-08-03T08:45:00",0.08
"2020-08-03T09:00:00",0.09
"2020-08-03T09:15:00",0.1
"2020-08-03T09:30:00",0.075
"2020-08-03T09:45:00",0.066666667
"2020-08-03T10:00:00",0.11
"2020-08-03T10:15:00",0.122222222
"2020-08-03T10:30:00",0.075
"2020-08-03T10:45:00",0.1
"2020-08-03T11:00:00",0.085714286
"2020-08-03T11:15:00",0.114285714
"2020-08-03T11:30:00",0.0875
"2020-08-03T11:45:00",0.12
"2020-08-03T12:00:00",0.07
"2020-08-03T12:15:00",0.11
"2020-08-03T12:30:00",0.1
"2020-08-03T12:45:00",0.09
"2020-08-03T13:00:00",0.111111111
"2020-08-03T13:15:00",0.05
"2020-08-03T13:30:00",0.12
"2020-08-03T13:45:00",0.08
"2020-08-03T14:00:00",0.085714286
"2020-08-03T14:15:00",0.1
"2020-08-03T14:30:00",0.1
"2020-08-03T14:45:00",0.111111111
"2020-08-03T15:00:00",0.055555556
"2020-08-03T15:15:00",0.05
"2020-08-03T15:30:00",0.08
"2020-08-03T15:45:00",0.1
"2020-08-03T16:00:00",0.022222222
"2020-08-03T16:15:00",0.0625
"2020-08-03T16:30:00",0.083333333
"2020-08-03T16:45:00",0.022222222
"2020-08-03T17:00:00",0.09
"2020-08-03T17:15:00",0.07
"2020-08-03T17:30:00",0.0875
"2020-08-03T17:45:00",0.025
"2020-08-03T18:00:00",0.0625
"2020-08-03T18:15:00",0.166666667
"2020-08-03T18:30:00",0.044444444
"2020-08-03T18:45:00",0.1
"2020-08-03T19:00:00",0.075
"2020-08-03T19:15:00",0.1
"2020-08-03T19:30:00",0.1
"2020-08-03T19:45:00",0.1
"2020-08-03T20:00:00",0.09
"2020-08-03T20:15:00",0.057142857
"2020-08-03T20:30:00",0.114285714
"2020-08-03T20:45:00",0.09
"2020-08-03T21:00:00",0.1
"2020-08-03T21:15:00",0.066666667
"2020-08-03T21:30:00",0.12
"2020-08-03T21:45:00",0.1
"2020-08-03T22:00:00",0.0875
"2020-08-03T22:15:00",0.1125
"2020-08-03T22:30:00",0.066666667
"2020-08-03T22:45:00",0.144444444
"2020-08-03T23:00:00",0.057142857
"2020-08-03T23:15:00",0.0875
"2020-08-03T23:30:00",0.111111111
"2020-08-03T23:45:00",0.090909091
"2020-08-04T00:00:00",0.1
"2020-08-04T00:15:00",0.077777778
"2020-08-04T00:30:00",0.1125
"2020-08-04T00:45:00",0.066666667
"2020-08-04T01:00:00",0.127272727
"2020-08-04T01:15:00",0.08
"2020-08-04T01:30:00",0.09
"2020-08-04T01:45:00",0.075
"2020-08-04T02:00:00",0.088888889
"2020-08-04T02:15:00",0.075
"2020-08-04T02:30:00",0.09
"2020-08-04T02:45:00",0.077777778
"2020-08-04T03:00:00",0.066666667
"2020-08-04T03:15:00",0.11
"2020-08-04T03:30:00",0.072727273
"2020-08-04T03:45:00",0.077777778
"2020-08-04T04:00:00",0.1
"2020-08-04T04:15:00",0.1
"2020-08-04T04:30:00",0.0875
"2020-08-04T04:45:00",0.1
"2020-08-04T05:00:00",0.122222222
"2020-08-04T05:15:00",0.055555556
"2020-08-04T05:30:00",0.08
"2020-08-04T05:45:00",0.155555556
"2020-08-04T06:00:00",0.1
"2020-08-04T06:15:00",0.05
"2020-08-04T06:30:00",0.1
"2020-08-04T06:45:00",0.09
"2020-08-04T07:00:00",0.071428571
"2020-08-04T07:15:00",0.042857143
"2020-08-04T07:30:00",0.075
"2020-08-04T07:45:00",0.1
"2020-08-04T08:00:00",0.05
"2020-08-04T08:15:00",0.0875
"2020-08-04T08:30:00",0.057142857
"2020-08-04T08:45:00",0.057142857
"2020-08-04T09:00:00",0.044444444
"2020-08-04T09:15:00",0.071428571
"2020-08-04T09:30:00",0.0625
"2020-08-04T09:45:00",0.066666667
"2020-08-04T10:00:00",0.0375
"2020-08-04T10:15:00",0.057142857
"2020-08-04T10:30:00",0.09
"2020-08-04T10:45:00",0.04
"2020-08-04T11:00:00",0.066666667
"2020-08-04T11:15:00",0.072727273
"2020-08-04T11:30:00",0.077777778
"2020-08-04T11:45:00",0.0625
"2020-08-04T12:00:00",0.08
